CreatureName,Script
Apprentice,One day I will surpass you all!
Aquarius,Welcome to my Winter Wonderland!
Marksman,You cannot escape my arrows.
Pikeman,"With this lance and shield, I will uphold the light."
Scout,Onwards!
Zealot,"Pain. Such sweet, delicious pain!"
Bloom Warden,"Fear not darling, the power of love will help you come through. "
Faen Brave,Hush… Do you hear it? 
Faen Hound,Arooooooooooo 
Faen Warden,Halt! Strangers are not welcome here! 
Wind Warden,Come feel my gentle caress... 
Banshee,Someone who has lived for as long as I will have no use for hate.
Bony Fiend,A monument will be built to commemorate your utter humiliation.
Hellhound,Never provoke a heart full of hate.
Imp,I prefer savor the organs rather than chewing the meat.
Nosferatu,There is no going back.
Flying Fox,"Flee, lest you meet your end."
Nean Thrall,Step up and we will see how brave you truly are!
Neander Hippo,"Warmth, trust, love… These words mean nothing to me."
Neander Tauro,"Anger may make things worse, but inaction will not make anything better."
Shaman Adept,Everything shall submit to my will!
Centaur Grunt,If I sense even the slightest bit of hostility from you…
Centaur Tracker,I will protect this place! I'm not afraid!
Faen Archer,I'll leave a hole in your chest with a single shot!
Faen Guard,Evil will have nowhere to hide.
Faen Hunter,Whoever endangers the forest will be my enemy.
Faen Rogue,I have never met anyone that has met me.
Faen Warrior,Want a go? Take your best shot!
Flame Warden,I am born of the flame!
Frost Warden,The cold never bothered me anyway…
Wood Patrol,"When you are here, you will obey the rules."
Berserker,No man is my master!
Elite Duelist,"Ice and fire, might and magic. Ha ha ha."
Empire Archer,Say my name!
Missionary,The gods will be with you.
Overseer,I will be your shield!
Praetor,We should still show kindness to evildoers.
Protector,We fight for our beliefs!
Sentinel,Be gone from this place!
Templar,Hope springs eternal.
Vicar,Bask in the divine light of the gods and receive their blessing!
Blooddrinker,There is no honor without blood.
Burnt Fiend,My philosophy is simple: My way or my fists.
Demona,Being the center of attention has never been enough to sate my ambition.
Flesheater,Even the weakest creatures would fight to survive.
Haunted Idol,"When you die, no memory of you will remain."
Llorona,Do not be afraid. That is just my power awakening.
Nightmare,To the victor goes the spoils.
Plaguebringer,My armor is Suffering and my weapons are Pain and Despair.
Shadowstalker,The shadows bide their time.
Zombie King,"By the light, I shall cleanse the world of you!"
Black Widow,All that's left is for you to complete the final journey.
Bloodseeker,"Believe me, you will never understand my suffering."
Elder Shaman,I feel the stirrings of potential.
Nean Warhog,I will slit your throat… ear to ear.
Sandstalker,"Close your eyes, it will be over soon…"
Tauros Seeker,"I can, and I should, rule this world."
Venom Queen,I smile at my prey before I slaughter them.
Wifwulf,Carry my mark and all your desires will be fulfilled.
Witch Doctor,"Time to sleep, time to dream."
Wolf Rider,"If that is only Hunger, I never want to see Anger."
Ash Highguard,I have been here for a millenia…
Centaur Guide,Nature's guardians are her warriors.
Dream Healer,"Close your eyes, take a break. I will take care of everything."
Druid,You will feel the power of Nature!
Elementalist,Nature's embrace is strong in this forest.
Faen Guardian,I will not allow anyone to break the peace!
Faen Marksman,There is no escaping my arrows.
Faen Ranger,You will pay for provoking the daughter of Nature.
Frost Ranger,Don't you dare move!
Magic Weaver,Can you see the elements swirling around me?
Pegasus,I'd say more but I'm a little horse…
Treant Guide,May my people find solace among the trees.
Treant Ranger,Begone or you will feel Nature's wrath!
Treant Weaver,Every blade of grass here is my friend. Don't hurt them!
Voltic Priest,"Yes, I can feel the elements. I can feel them calling in the air tonight!"
Wood Stalker,I shall add your head to my collection.
Archmage,I will show the Morii the true meaning of death.
Border Ranger,Pray that you never meet me twice.
Creatureinal,Believe in me and gain eternal life.
Devotee,Thank the gods for this land of plenty.
Divine Knight,Eyes on the prize! CHARGE!
Empire Guard,No one is to approach His Majesty!
Flame Mage,I live for the flame.
Flame Witch,Such pretty flames…
Phantom Rogue,Stay still and this might not hurt as much.
Pious Warden,Repent and your sins will be forgiven.
Royal Griffin,The world is my hunting ground!
Blightghast,I revel in the misery of my vanquished foes.
Bloody Baron,Every kill brings me closer to immortality.
Bone Mage,Life gains meaning the instant it leaves the body.
Dark Assassin,Enjoy life while you still can.
Dark Gargoyle,The faithful will have nothing to fear from me.
Dark Witch,Sate your desires. Bear the burdens.
Evil Eye,"Even if I stand alone, I will see justice delivered!"
Frost Caller,Not all that is shrouded is dark. Not all those in shadow are vile.
Imp Lord,"Come, stare into the abyss."
Manticore,I pray each time I crush the spine of a foe. Respect the dead.
Necrotic Naga,"When th cold steel presses against your neck, you will grovel like all the rest."
Night Terror,How brief you are. Flitting in and out of existence in the blink of an eye.
Pit Minion,Cast off your restraints! Free yourself from all boundaries!
The Unseen,"The world is different for those who cannot, or will not, see the battlefield."
Wild Efreet,I walk with Death. Come near me and be closer to him.
Alert Guard,I am the law. Obey me or pay the price!
Blood Shaman,Dispel the curse? You're wasting your effort.
Blood Soldier,"Eye for eye, blood for blood!"
Blood Warlock,Power belongs to those who can take it.
Desert Sting,Your fear will lead to ultimate suffering!
Feline Lurker,Go big or go home!
Fire Lizard,I am with you. There is nothing to fear.
Harpy Queen,I will be your doom!
Hippo Raider,I will see your fear and despair before I send you on your way.
Lazy Guard,The only Justice that matters can be found at the tip of my spear.
Panther Guard,I will swallow you whole!
Rite Master,"No one escapes Death, not even you."
Troll Guard,"If I cannot dissuade you from death, I will aid you along the way."
Troll Mage,Come closer… Feel my power!
Troll Scout,You will be conquered by your own fear.
Arrow Brave,I never waste a single arrow.
Centaur Chief,Stay still. I want to keep your face intact when I cut off your head.
Dream Guide,Are dreams not a part of reality? Why do we insist they are apart?
Faen Mesmer,You will never find your way out of this forest!
Faen Rampager,I am different from most Faen. Sometimes I lose control…
Flame Brave,"Burn, reduce this ugly world to ashes!"
Henrietta,Care to hear a song?
Horned Beast,Catch me if you can!
Horus,I'm the pride of Nile. Failure is not an option.
Laurel,Hah! I'll make mincemeat out of you!
Light Brave,I am a god among gods!
Master Guide,I will not harm you but I will not allow you to bring harm to us.
